Datum;;Ergebnis kuenstl. Lawinenausloesung;Versuche kuenstl. Lawinenausloesung;Wetter zur Zeit der Beobachtung;Windrichtung;Windverfrachtung;WG ohne Verfrachtung;WG mit Verfrachtung;Windgeschwindigkeit;Wetter vom Vortag;Temperaturverlauf der letzen 24 h;Schneetemperatur;Lufttemperatur TM;Lufttemperatur TA;Windstaerke zur Zeit d. Beobachtung;Windstaerke vergangene Nacht;Windstaerke vom Vortag Nachmittag;Windstaerke vom Vortag Vormittag;Oberflaechencharakter Schneedecke;Oberflaechenform Schneedecke;Reif;Windrichtung zur Zeit d. Beobachtung;Windrichtung vergangene Nacht;Windrichtung vom Vortag Nachmittag;Windrichtung vom Vortag Vormittag;Einsinktiefe ABS;Einsinktiefe;Europ. Lawinengefahrenskala;Tourengelaende: Art zu erwartender Lawine;Europ. Lawinengefahrenskala;Strasse: Art der zu erwartenden Lawinen;Gelaendebeschaffenheit im Anrissgebiet;Groesse u. Zahl der Lawinen;Meereshoehe des Anrissgebietes;Exposition des Anrissgebietes;Lawinenart;Schneehoehe;Neuschneehoehe;
02.01.1994;;0,000;0,000;3,000;135,00;0;2;---;2,00;7,000;5,000;---;-4,0;-14,0;1,000;2,000;1,000;2,000;---;---;---;180,000;315,000;360,000;270,000;---;---;2,000;1,000;2,000;1,000;---;---;---;---;---;58;22;
03.01.1994;;0,000;0,000;74,000;180,00;1;2;---;2,00;8,000;4,000;-5,0;0,0;-5,0;2,000;3,000;2,000;2,000;9,000;6,000;0;45,000;360,000;270,000;180,000;40,00;40,000;4,000;7,000;3,000;4,000;---;---;---;---;---;80;10;
04.01.1994;;0,000;0,000;3,000;180,00;1;2;---;2,00;8,000;5,000;-8,0;2,0;-4,0;2,000;2,000;3,000;4,000;9,000;6,000;0;180,000;270,000;225,000;45,000;61,00;19,000;2,000;4,000;2,000;4,000;0,000;0,000;0,000;0,000;0,000;80;0;
05.01.1994;;0,000;0,000;1,000;180,00;0;2;---;2,00;7,000;2,000;-6,0;-3,0;-6,0;0,000;2,000;2,000;2,000;9,000;1,000;0;---;315,000;315,000;315,000;---;---;4,000;4,000;3,000;4,000;0,000;0,000;0,000;0,000;0,000;90;20;
06.01.1994;;0,000;0,000;8,000;180,00;0;2;---;2,00;3,000;4,000;---;0,0;-2,0;4,000;6,000;2,000;3,000;---;---;---;180,000;180,000;180,000;225,000;---;---;4,000;7,000;3,000;7,000;4,000;5,000;3,000;9,000;5,000;49;0;
07.01.1994;;0,000;0,000;9,000;180,00;0;2;---;2,00;3,000;1,000;---;2,0;0,0;4,000;6,000;6,000;7,000;---;---;---;225,000;225,000;180,000;180,000;---;---;4,000;7,000;3,000;7,000;---;---;---;---;---;47;0;
08.01.1994;;0,000;0,000;9,000;180,00;0;3;---;3,00;2,000;5,000;---;2,0;2,0;4,000;4,000;9,000;9,000;---;---;---;180,000;180,000;180,000;180,000;---;---;4,000;7,000;3,000;7,000;---;---;---;---;---;38;0;
09.01.1994;;0,000;0,000;3,000;135,00;0;3;---;3,00;0,000;3,000;---;1,0;-1,0;2,000;2,000;4,000;5,000;---;---;---;315,000;360,000;225,000;180,000;---;---;3,000;7,000;3,000;7,000;---;---;---;---;---;33;0;
10.01.1994;;0,000;0,000;3,000;270,00;0;1;---;1,00;0,000;4,000;-7,0;3,0;-1,0;1,000;2,000;2,000;2,000;6,000;6,000;0;180,000;180,000;180,000;180,000;31,00;0,000;3,000;7,000;3,000;7,000;0,000;0,000;0,000;0,000;0,000;31;0;
11.01.1994;;0,000;0,000;3,000;225,00;0;2;---;2,00;0,000;4,000;-6,0;3,0;-1,0;1,000;3,000;4,000;2,000;6,000;6,000;0;360,000;180,000;135,000;180,000;31,00;0,000;3,000;7,000;2,000;7,000;0,000;0,000;0,000;0,000;0,000;31;0;
12.01.1994;;0,000;0,000;0,000;135,00;0;3;---;3,00;0,000;3,000;-6,0;1,0;-4,0;3,000;1,000;1,000;1,000;6,000;6,000;0;225,000;225,000;225,000;225,000;31,00;0,000;3,000;7,000;2,000;7,000;0,000;0,000;0,000;0,000;0,000;31;0;
13.01.1994;;0,000;0,000;1,000;180,00;0;3;---;3,00;0,000;4,000;-3,0;3,0;1,0;2,000;2,000;3,000;3,000;6,000;6,000;0;180,000;180,000;180,000;180,000;28,00;0,000;3,000;7,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;28;0;
14.01.1994;;9,000;0,000;2,000;180,00;0;---;2;2,00;2,000;2,000;-2,0;3,0;-1,0;2,000;2,000;2,000;2,000;6,000;6,000;0;135,000;270,000;225,000;225,000;28,00;0,000;2,000;7,000;1,000;7,000;0,000;0,000;0,000;0,000;0,000;28;0;
15.01.1994;;0,000;0,000;2,000;360,00;0;---;2;2,00;2,000;3,000;---;0,0;-7,0;2,000;1,000;2,000;2,000;6,000;6,000;0;225,000;270,000;270,000;315,000;28,00;0,000;2,000;7,000;1,000;7,000;0,000;0,000;0,000;0,000;0,000;28;0;
16.01.1994;;0,000;0,000;1,000;360,00;0;---;1;1,00;1,000;3,000;-1,0;-4,0;-10,0;0,000;1,000;1,000;2,000;9,000;1,000;0;270,000;180,000;225,000;225,000;22,00;6,000;2,000;7,000;1,000;7,000;---;---;---;---;---;28;6;
17.01.1994;;0,000;0,000;3,000;45,00;0;---;3;3,00;1,000;4,000;-10,0;-4,0;-11,0;2,000;2,000;2,000;2,000;9,000;1,000;0;180,000;180,000;180,000;180,000;22,00;6,000;2,000;7,000;1,000;7,000;0,000;0,000;0,000;0,000;0,000;28;0;
18.01.1994;;0,000;0,000;0,000;45,00;0;3;---;3,00;3,000;4,000;-10,0;-6,0;-15,0;2,000;2,000;1,000;1,000;9,000;1,000;0;225,000;---;---;---;23,00;10,000;2,000;7,000;1,000;7,000;0,000;0,000;0,000;0,000;0,000;33;5;
19.01.1994;;0,000;0,000;0,000;45,00;0;4;---;4,00;0,000;4,000;-11,0;-9,0;-9,0;1,000;2,000;2,000;2,000;9,000;1,000;0;180,000;180,000;225,000;180,000;24,00;9,000;2,000;7,000;1,000;7,000;0,000;0,000;0,000;0,000;0,000;33;0;
20.01.1994;;0,000;0,000;3,000;135,00;0;4;---;4,00;0,000;4,000;-11,0;-1,0;-7,0;1,000;2,000;2,000;2,000;9,000;1,000;0;225,000;180,000;180,000;180,000;22,00;8,000;2,000;7,000;1,000;7,000;0,000;0,000;0,000;0,000;0,000;30;0;
21.01.1994;;0,000;0,000;3,000;180,00;0;4;---;4,00;1,000;3,000;-11,0;-4,0;-14,0;2,000;2,000;1,000;1,000;9,000;1,000;0;270,000;270,000;270,000;225,000;22,00;8,000;2,000;7,000;1,000;7,000;0,000;0,000;0,000;0,000;0,000;30;0;
22.01.1994;;0,000;0,000;0,000;180,00;0;3;---;3,00;0,000;5,000;-7,0;-5,0;-5,0;2,000;2,000;2,000;2,000;9,000;1,000;0;180,000;180,000;180,000;180,000;22,00;6,000;2,000;7,000;1,000;7,000;0,000;0,000;0,000;0,000;0,000;28;0;
23.01.1994;;0,000;0,000;0,000;180,00;0;2;---;2,00;0,000;4,000;-5,0;2,0;-3,0;2,000;2,000;2,000;2,000;9,000;1,000;0;225,000;225,000;225,000;225,000;22,00;6,000;2,000;7,000;1,000;7,000;0,000;0,000;0,000;0,000;0,000;28;0;
24.01.1994;;0,000;0,000;3,000;225,00;0;1;---;1,00;0,000;4,000;-8,0;4,0;-3,0;2,000;3,000;4,000;3,000;9,000;3,000;0;180,000;135,000;135,000;180,000;21,00;7,000;2,000;7,000;1,000;7,000;0,000;0,000;0,000;0,000;0,000;28;0;
25.01.1994;;0,000;0,000;71,000;225,00;0;5;---;5,00;0,000;4,000;-2,0;2,0;-2,0;2,000;2,000;3,000;3,000;8,000;1,000;0;315,000;315,000;180,000;135,000;11,00;20,000;3,000;4,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;31;13;
26.01.1994;;0,000;0,000;1,000;180,00;0;6;---;6,00;1,000;0,000;-3,0;3,0;-1,0;1,000;2,000;2,000;3,000;8,000;3,000;0;270,000;135,000;270,000;135,000;13,00;25,000;3,000;4,000;2,000;5,000;2,000;3,000;9,000;9,000;3,000;38;7;
27.01.1994;;---;---;74,000;180,00;1;7;---;7,00;8,000;3,000;-5,0;-1,0;-9,0;2,000;1,000;5,000;4,000;9,000;1,000;0;45,000;45,000;45,000;360,000;80,00;10,000;3,000;4,000;4,000;4,000;---;---;---;---;---;90;13;
28.01.1994;;0,000;0,000;74,000;---;1;3;---;3,00;0,000;5,000;0,0;2,0;-8,0;4,000;2,000;3,000;2,000;---;---;---;180,000;225,000;225,000;270,000;---;---;4,000;4,000;3,000;4,000;2,000;3,000;9,000;9,000;3,000;93;0;
29.01.1994;;0,000;0,000;36,000;180,00;1;1;---;1,00;8,000;3,000;---;-7,0;-15,0;3,000;4,000;5,000;5,000;---;---;---;45,000;45,000;45,000;45,000;---;---;4,000;7,000;3,000;7,000;---;---;---;---;---;123;30;
30.01.1994;;0,000;0,000;2,000;135,00;1;3;---;3,00;8,000;5,000;---;-5,0;-5,0;2,000;4,000;2,000;4,000;---;---;---;135,000;270,000;45,000;45,000;---;---;4,000;7,000;3,000;7,000;---;---;---;---;---;120;2;
31.01.1994;;0,000;0,000;72,000;135,00;1;3;---;3,00;1,000;4,000;-6,0;-1,0;-6,0;3,000;3,000;4,000;3,000;9,000;3,000;0;315,000;360,000;135,000;270,000;103,00;7,000;4,000;7,000;3,000;7,000;0,000;0,000;0,000;0,000;0,000;110;0;
01.02.1994;;0,000;0,000;0,000;---;0;1;---;1,00;1,000;1,000;-10,0;-6,0;-5,0;2,000;3,000;3,000;3,000;9,000;3,000;0;225,000;270,000;360,000;360,000;97,00;10,000;4,000;7,000;3,000;5,000;2,000;3,000;4,000;9,000;3,000;107;0;
02.02.1994;;0,000;0,000;3,000;225,00;0;1;---;1,00;0,000;5,000;-7,0;2,0;0,0;1,000;2,000;2,000;4,000;9,000;3,000;0;225,000;180,000;180,000;180,000;99,00;8,000;3,000;7,000;3,000;5,000;2,000;3,000;4,000;9,000;5,000;107;0;
03.02.1994;;0,000;0,000;3,000;180,00;0;---;1;1,00;1,000;4,000;-8,0;1,0;-4,0;1,000;2,000;2,000;1,000;9,000;3,000;0;270,000;225,000;225,000;180,000;100,00;5,000;3,000;7,000;2,000;7,000;0,000;0,000;0,000;0,000;0,000;105;0;
04.02.1994;;0,000;0,000;3,000;360,00;0;---;3;3,00;0,000;2,000;-6,0;2,0;0,0;2,000;2,000;1,000;2,000;9,000;3,000;0;225,000;180,000;315,000;270,000;97,00;5,000;3,000;7,000;2,000;5,000;8,000;4,000;2,000;8,000;7,000;102;0;
05.02.1994;;0,000;0,000;3,000;225,00;0;---;1;1,00;0,000;3,000;---;3,0;-3,0;4,000;2,000;4,000;3,000;6,000;3,000;0;45,000;315,000;270,000;225,000;96,00;0,000;3,000;7,000;2,000;7,000;0,000;0,000;0,000;0,000;0,000;96;0;
06.02.1994;;0,000;0,000;3,000;180,00;0;---;3;3,00;3,000;4,000;---;0,0;-5,0;1,000;2,000;6,000;4,000;6,000;3,000;0;180,000;180,000;180,000;180,000;96,00;0,000;3,000;7,000;2,000;7,000;0,000;0,000;0,000;0,000;0,000;96;0;
07.02.1994;;0,000;0,000;0,000;225,00;0;2;---;2,00;1,000;4,000;-8,0;-1,0;-3,0;1,000;1,000;1,000;1,000;6,000;3,000;0;180,000;---;180,000;180,000;88,00;5,000;3,000;7,000;2,000;7,000;0,000;0,000;0,000;0,000;0,000;93;4;
08.02.1994;;0,000;0,000;45,000;360,00;0;1;---;1,00;0,000;4,000;-7,0;2,0;-6,0;1,000;1,000;1,000;1,000;6,000;3,000;0;180,000;180,000;180,000;180,000;88,00;5,000;2,000;7,000;1,000;7,000;0,000;0,000;0,000;0,000;0,000;93;0;
09.02.1994;;0,000;0,000;45,000;180,00;0;1;---;1,00;7,000;3,000;-8,0;-3,0;-9,0;1,000;1,000;2,000;1,000;9,000;1,000;0;225,000;360,000;360,000;315,000;77,00;25,000;2,000;7,000;2,000;4,000;0,000;0,000;0,000;0,000;0,000;102;20;
10.02.1994;;0,000;0,000;2,000;270,00;0;3;---;3,00;1,000;4,000;-8,0;-4,0;-7,0;3,000;2,000;2,000;2,000;9,000;1,000;0;225,000;225,000;225,000;225,000;79,00;20,000;2,000;7,000;2,000;4,000;5,000;3,000;9,000;9,000;3,000;99;0;
11.02.1994;;0,000;0,000;71,000;180,00;0;2;---;2,00;7,000;3,000;---;-4,0;-11,0;2,000;3,000;3,000;3,000;9,000;1,000;0;315,000;360,000;360,000;225,000;81,00;30,000;2,000;7,000;2,000;4,000;---;---;---;---;---;111;12;
12.02.1994;;0,000;0,000;71,000;180,00;0;1;---;1,00;7,000;3,000;---;-10,0;-12,0;2,000;2,000;3,000;1,000;---;---;---;315,000;315,000;360,000;315,000;89,00;35,000;3,000;7,000;3,000;4,000;---;---;---;---;---;124;13;
13.02.1994;;0,000;0,000;71,000;180,00;0;1;---;1,00;7,000;3,000;---;-10,0;-14,0;1,000;1,000;2,000;2,000;---;---;---;315,000;180,000;315,000;315,000;100,00;35,000;3,000;7,000;3,000;4,000;---;---;---;---;---;135;11;
14.02.1994;;0,000;0,000;37,000;225,00;1;2;---;2,00;8,000;2,000;-12,0;-10,0;-12,0;3,000;5,000;1,000;1,000;9,000;3,000;0;180,000;180,000;315,000;315,000;84,00;40,000;4,000;7,000;4,000;4,000;0,000;0,000;0,000;0,000;0,000;124;5;
15.02.1994;;0,000;0,000;3,000;270,00;0;1;---;1,00;3,000;2,000;-15,0;-10,0;-12,0;2,000;2,000;3,000;7,000;9,000;3,000;0;180,000;270,000;180,000;180,000;68,00;15,000;4,000;7,000;3,000;7,000;0,000;0,000;0,000;0,000;0,000;83;0;
16.02.1994;;0,000;0,000;0,000;270,00;0;3;---;3,00;0,000;4,000;-22,0;-1,0;-12,0;1,000;1,000;1,000;1,000;5,000;3,000;0;180,000;180,000;180,000;180,000;90,00;0,000;3,000;7,000;2,000;7,000;3,000;3,000;9,000;9,000;5,000;90;0;
17.02.1994;;0,000;0,000;71,000;225,00;0;2;---;2,00;0,000;4,000;-13,0;-5,0;-15,0;1,000;2,000;1,000;2,000;5,000;3,000;0;135,000;135,000;135,000;225,000;81,00;2,000;3,000;7,000;2,000;7,000;---;---;---;---;---;83;2;
18.02.1994;;0,000;0,000;0,000;225,00;0;3;---;3,00;2,000;1,000;---;-10,0;-9,0;1,000;1,000;1,000;2,000;5,000;3,000;0;180,000;225,000;180,000;225,000;81,00;2,000;3,000;7,000;2,000;7,000;---;---;---;---;---;83;0;
19.02.1994;;0,000;0,000;3,000;315,00;0;2;---;2,00;0,000;3,000;---;-2,0;-13,0;1,000;1,000;2,000;2,000;5,000;3,000;0;270,000;315,000;270,000;180,000;81,00;2,000;3,000;7,000;2,000;7,000;---;---;---;---;---;83;0;
20.02.1994;;0,000;0,000;0,000;315,00;0;2;---;2,00;0,000;1,000;---;-5,0;-10,0;1,000;1,000;1,000;1,000;---;---;---;225,000;225,000;225,000;270,000;---;---;2,000;7,000;2,000;7,000;---;---;---;---;---;83;0;
21.02.1994;;0,000;0,000;0,000;180,00;0;3;---;3,00;2,000;4,000;-8,0;-2,0;-7,0;1,000;1,000;2,000;1,000;4,000;6,000;0;180,000;180,000;180,000;180,000;83,00;0,000;1,000;7,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;83;0;
22.02.1994;;0,000;0,000;2,000;180,00;0;3;---;3,00;0,000;4,000;-8,0;0,0;-6,0;2,000;2,000;1,000;2,000;4,000;6,000;0;225,000;225,000;315,000;180,000;80,00;0,000;2,000;7,000;2,000;2,000;0,000;0,000;0,000;0,000;0,000;80;0;
23.02.1994;;0,000;0,000;1,000;180,00;0;---;4;4,00;2,000;4,000;-6,0;2,0;-4,0;2,000;4,000;2,000;2,000;4,000;6,000;0;225,000;225,000;225,000;225,000;83,00;0,000;2,000;7,000;2,000;2,000;0,000;0,000;0,000;0,000;0,000;83;0;
24.02.1994;;0,000;0,000;2,000;180,00;0;---;4;4,00;1,000;4,000;-6,0;3,0;-6,0;1,000;2,000;2,000;2,000;4,000;6,000;0;270,000;270,000;225,000;225,000;83,00;0,000;2,000;7,000;1,000;2,000;0,000;0,000;0,000;0,000;0,000;83;0;
25.02.1994;;0,000;0,000;72,000;225,00;1;---;4;4,00;2,000;4,000;-3,0;-1,0;-5,0;3,000;3,000;1,000;1,000;9,000;6,000;0;180,000;180,000;---;---;73,00;10,000;2,000;7,000;2,000;2,000;0,000;0,000;0,000;0,000;0,000;83;7;
26.02.1994;;0,000;0,000;0,000;315,00;0;---;2;2,00;1,000;5,000;-3,0;0,0;-1,0;3,000;3,000;2,000;2,000;6,000;6,000;0;180,000;180,000;180,000;180,000;77,00;6,000;2,000;7,000;2,000;2,000;0,000;0,000;0,000;0,000;0,000;83;1;
27.02.1994;;0,000;0,000;0,000;315,00;0;1;---;1,00;0,000;3,000;-2,0;11,0;3,0;2,000;2,000;2,000;2,000;8,000;6,000;0;180,000;180,000;180,000;180,000;83,00;0,000;3,000;5,000;3,000;2,000;0,000;0,000;0,000;0,000;0,000;83;0;
28.02.1994;;0,000;0,000;8,000;270,00;0;2;---;2,00;0,000;4,000;-1,0;10,0;3,0;4,000;5,000;4,000;2,000;4,000;6,000;0;225,000;180,000;180,000;225,000;93,00;0,000;3,000;5,000;3,000;5,000;8,000;5,000;9,000;8,000;6,000;93;0;
01.03.1994;;0,000;0,000;9,000;360,00;0;1;---;1,00;1,000;4,000;-1,0;5,0;1,0;2,000;4,000;4,000;5,000;4,000;6,000;0;270,000;180,000;180,000;225,000;89,00;0,000;3,000;5,000;3,000;5,000;2,000;5,000;9,000;9,000;4,000;89;0;
02.03.1994;;0,000;0,000;73,000;315,00;0;2;---;2,00;2,000;4,000;-3,0;2,0;-4,0;1,000;2,000;2,000;2,000;9,000;1,000;0;270,000;315,000;270,000;180,000;71,00;25,000;3,000;4,000;3,000;5,000;0,000;0,000;0,000;0,000;0,000;96;25;
03.03.1994;;0,000;0,000;1,000;180,00;0;---;1;1,00;7,000;4,000;-4,0;0,0;-5,0;1,000;2,000;2,000;2,000;9,000;1,000;0;315,000;360,000;180,000;315,000;74,00;28,000;3,000;4,000;3,000;5,000;2,000;3,000;8,000;9,000;4,000;102;3;
04.03.1994;;0,000;0,000;69,000;180,00;0;---;2;2,00;0,000;3,000;---;-1,0;-1,0;1,000;3,000;2,000;3,000;---;---;---;45,000;---;270,000;270,000;---;---;3,000;4,000;3,000;5,000;---;---;---;---;---;120;18;
05.03.1994;;0,000;0,000;0,000;270,00;1;---;2;2,00;8,000;5,000;---;-5,0;-7,0;1,000;2,000;5,000;6,000;---;---;---;135,000;180,000;45,000;45,000;---;---;3,000;5,000;3,000;5,000;---;---;---;---;---;124;3;
06.03.1994;;0,000;0,000;2,000;360,00;0;---;3;3,00;0,000;4,000;---;5,0;0,0;1,000;2,000;1,000;0,000;---;---;---;270,000;225,000;225,000;180,000;---;---;3,000;5,000;2,000;3,000;---;---;---;---;---;123;0;
07.03.1994;;0,000;0,000;2,000;45,00;0;---;2;2,00;7,000;4,000;-2,0;4,0;-4,0;1,000;2,000;2,000;3,000;9,000;1,000;0;180,000;315,000;315,000;180,000;97,00;20,000;2,000;2,000;2,000;2,000;0,000;0,000;0,000;0,000;0,000;117;5;
08.03.1994;;0,000;0,000;69,000;45,00;0;---;4;4,00;1,000;2,000;0,0;2,0;0,0;3,000;3,000;3,000;3,000;8,000;3,000;0;90,000;90,000;135,000;315,000;105,00;10,000;3,000;5,000;2,000;5,000;0,000;0,000;0,000;0,000;0,000;115;2;
09.03.1994;;0,000;0,000;61,000;225,00;0;---;3;3,00;6,000;2,000;0,0;3,0;2,0;2,000;2,000;2,000;2,000;7,000;3,000;0;180,000;180,000;180,000;270,000;93,00;15,000;3,000;5,000;3,000;5,000;5,000;3,000;9,000;9,000;2,000;108;0;
10.03.1994;;0,000;0,000;0,000;270,00;0;---;2;2,00;2,000;2,000;-1,0;6,0;3,0;1,000;2,000;2,000;1,000;5,000;3,000;0;180,000;180,000;180,000;180,000;108,00;0,000;3,000;5,000;3,000;5,000;4,000;5,000;9,000;9,000;4,000;108;0;
11.03.1994;;0,000;0,000;3,000;180,00;0;2;---;2,00;0,000;4,000;-1,0;9,0;-1,0;2,000;2,000;1,000;3,000;5,000;3,000;0;315,000;315,000;315,000;270,000;105,00;0,000;3,000;5,000;3,000;5,000;4,000;5,000;8,000;9,000;4,000;105;0;
12.03.1994;;0,000;0,000;0,000;315,00;0;2;---;2,00;0,000;4,000;0,0;8,0;3,0;1,000;2,000;3,000;3,000;5,000;3,000;0;45,000;180,000;180,000;180,000;99,00;0,000;3,000;5,000;3,000;5,000;4,000;5,000;8,000;9,000;4,000;99;0;
13.03.1994;;5,000;0,000;1,000;315,00;0;2;---;2,00;6,000;4,000;-1,0;8,0;-2,0;1,000;2,000;1,000;1,000;---;---;---;270,000;315,000;270,000;---;---;---;2,000;5,000;2,000;5,000;---;---;---;---;---;103;5;
