Datum,Intervall,Schneehöhe,Schneehöhe_Norm,Niederschlag,Lufttemperatur_7h,Lufttemperatur_7h_Norm,Lufttemperatur_7h_Gew,Lufttemperatur_14h,Lufttemperatur_14h_Norm,Lufttemperatur_14h_Gew,Lufttemperatur_19h,Lufttemperatur_19h_Norm,Lufttemperatur_19h_Gew,Schneetemperatur,Schneetemperatur_Norm,Schneetemperatur_Gew,Windrichtung,Windrichtung_Norm,Windrichtung_Gew,Windstärke,Windstärke_Norm,Windstärke_Gew,Einsinktiefe,Einsinktiefe_Norm,Einsinktiefe_Gew,Wetter_akt,Wetter_gestern,Wolken,Wolken_Norm,Neuschnee_x,Neuschnee_Norm,Neuschnee_Gew,Neuschnee_last4,Neuschnee_last2,windstaerke_last1,windstaerke_last2,windstaerke_last3,windstaerke_last4,Lufttemperatur_last1,Lufttemperatur_last2,Lufttemperatur_last3,Lufttemperatur_last4,ID,meanExpo,meanSlope,stdDevSlope,MinSlope,MaxSlope,Altitude,Avalanche
1989-12-30, 1989/ 1990,22.0,27.3185875048506,0.0,-3.4,-27.2,-31.6,0.9,7.2,-20.0,-5.5,-44.0,-23.6,0.0,0.0,0.0,180.0,-3.0,-3.0,3.0,-1.1023849469989769e-10,-1.1023849469989769e-10,23.0,230.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1023849469989769e-10,-2.9396931919972725e-10,-7.636753236912147,-7.636753236912147,-50.13333333333333,-44.0,-39.733333333333334,-16.0,0.0,298.1447446617573,41.6731125,7.1471,0.0,65.40911249999999,2735.1634,0
1989-12-31, 1989/ 1990,22.0,27.57540148844497,0.0,-6.9,-55.2,-13.6,-3.6,-28.8,3.6,-6.600000000000001,-52.8,-22.0,0.0,0.0,0.0,180.0,-3.0,-3.0,3.0,-1.1023849469989769e-10,-1.1023849469989769e-10,22.0,220.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1023849469989769e-10,-1.1023849469989769e-10,-2.9396931919972725e-10,-7.636753236912147,-21.333333333333332,-50.13333333333333,-44.0,-39.733333333333334,0.0,236.81701527625484,36.16575,5.3207,23.699150000000003,52.54575,2344.71655,0
1990-01-01, 1989/ 1990,22.0,28.13749000799361,0.0,-5.2,-41.6,-27.6,-2.5,-20.0,-14.4,-5.600000000000001,-44.8,-26.4,0.0,0.0,0.0,180.0,-3.0,-3.0,3.0,-1.1023849469989769e-10,-1.1023849469989769e-10,22.0,220.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1023849469989769e-10,-1.1023849469989769e-10,-1.1023849469989769e-10,-2.9396931919972725e-10,-45.6,-21.333333333333332,-50.13333333333333,-44.0,0.0,267.16920015661407,43.175287499999996,6.860250000000001,11.51305,65.9765,2978.152008333334,0
1990-01-02, 1989/ 1990,22.0,27.39299610894942,0.0,-8.4,-67.2,-20.8,-4.600000000000001,-36.8,-10.0,-4.2,-33.6,-22.4,0.0,0.0,0.0,180.0,-3.0,-3.0,3.0,-1.1023849469989769e-10,-1.1023849469989769e-10,21.0,210.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1023849469989769e-10,-1.1023849469989769e-10,-1.1023849469989769e-10,-1.1023849469989769e-10,-35.46666666666667,-45.6,-21.333333333333332,-50.13333333333333,0.0,98.85156201158661,41.04085833333334,8.651008333333332,6.873766666666666,71.01370833333333,2637.5822666666663,0
1990-01-03, 1989/ 1990,22.0,26.54600301659125,0.0,-7.4,-59.2,-33.6,-5.100000000000001,-40.8,-18.4,-7.8,-62.4,-16.8,0.0,0.0,0.0,135.0,-2.121320343575881,-3.0,3.0,7.636753236756254,-1.1023849469989769e-10,21.0,210.0,105.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,-1.1023849469989769e-10,-1.1023849469989769e-10,-1.1023849469989769e-10,-1.1023849469989769e-10,-45.86666666666667,-35.46666666666667,-45.6,-21.333333333333332,0.0,82.52137390556972,39.48648461538461,8.214153846153847,14.862284615384615,71.69213846153846,1822.6457692307695,0
1990-01-04, 1989/ 1990,22.0,25.90139808682855,0.0,-3.0,-24.0,-29.6,-1.4,-11.2,-20.4,-3.8,-30.4,-31.2,0.0,0.0,0.0,90.0,-2.5518170069420767e-11,-2.121320343575881,5.0,18.0,7.636753236756254,20.0,200.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.636753236756254,-1.1023849469989769e-10,-1.1023849469989769e-10,-1.1023849469989769e-10,-54.13333333333333,-45.86666666666667,-35.46666666666667,-45.6,0.0,260.46868802414093,42.6599,7.696246428571428,7.606199999999999,65.80953392857143,3022.7729089285713,0
1990-01-05, 1989/ 1990,19.0,22.71199103474038,0.4,-6.600000000000001,-52.8,-12.0,-5.3,-42.4,-5.600000000000001,-7.4,-59.2,-15.2,0.0,0.0,0.0,180.0,-5.0,-2.5518170069420767e-11,5.0,-1.8373082449982947e-10,18.0,19.0,190.0,100.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,18.0,7.636753236756254,-1.1023849469989769e-10,-1.1023849469989769e-10,-21.866666666666667,-54.13333333333333,-45.86666666666667,-35.46666666666667,0.0,296.26865815593663,39.92075833333333,7.472499999999999,6.785733333333334,63.76664166666666,2443.633433333334,0
1990-01-06, 1989/ 1990,19.0,23.03030303030303,0.0,-8.6,-68.8,-26.4,-4.5,-36.0,-21.2,-8.3,-66.4,-29.6,0.0,0.0,0.0,360.0,3.0,-5.0,3.0,2.2047698939979548e-10,-1.8373082449982947e-10,19.0,190.0,95.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,-1.8373082449982947e-10,18.0,7.636753236756254,-1.1023849469989769e-10,-51.46666666666667,-21.866666666666667,-54.13333333333333,-45.86666666666667,0.0,271.6647666395917,41.9246,4.6595,33.076,54.9209,1980.7611,0
1990-01-07, 1989/ 1990,16.0,18.39741286381603,0.0,-6.8,-54.4,-34.4,-4.5,-36.0,-18.0,-7.5,-60.0,-33.2,0.0,0.0,0.0,225.0,-2.121320343532578,3.0,3.0,-7.636753236912147,2.2047698939979548e-10,19.0,190.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2047698939979548e-10,-1.8373082449982947e-10,18.0,7.636753236756254,-57.06666666666667,-51.46666666666667,-21.866666666666667,-54.13333333333333,0.0,240.62259194360806,40.215385714285716,6.8277,3.598442857142857,60.65671428571428,2925.3788714285715,0
1990-01-08, 1989/ 1990,19.0,20.64516129032258,0.0,-7.7,-61.6,-27.2,-3.8,-30.4,-18.0,-7.3,-58.4,-30.0,0.0,0.0,0.0,225.0,-0.7071067811775259,-2.121320343532578,1.0,-2.545584412304049,-7.636753236912147,19.0,190.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.636753236912147,2.2047698939979548e-10,-1.8373082449982947e-10,18.0,-50.13333333333333,-57.06666666666667,-51.46666666666667,-21.866666666666667,0.0,82.01615906974631,42.22405,6.966049999999999,16.252,66.35245,1961.4425999999999,0
1990-01-09, 1989/ 1990,19.0,20.32764961551321,0.0,-7.0,-56.0,-30.8,-2.7,-21.6,-15.2,-5.2,-41.6,-29.2,0.0,0.0,0.0,135.0,-3.535533905959802,-0.7071067811775259,5.0,12.72792206126042,-2.545584412304049,19.0,190.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.545584412304049,-7.636753236912147,2.2047698939979548e-10,-1.8373082449982947e-10,-50.13333333333333,-50.13333333333333,-57.06666666666667,-51.46666666666667,0.0,98.85156201158661,41.04085833333334,8.651008333333332,6.873766666666666,71.01370833333333,2637.5822666666663,0
1990-01-10, 1989/ 1990,19.0,20.64516129032258,0.0,-4.9,-39.2,-28.0,-2.1,-16.8,-10.8,-5.5,-44.0,-20.8,0.0,0.0,0.0,180.0,-8.0,-3.535533905959802,8.0,-2.9396931919972725e-10,12.72792206126042,19.0,190.0,95.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,12.72792206126042,-2.545584412304049,-7.636753236912147,2.2047698939979548e-10,-39.733333333333334,-50.13333333333333,-50.13333333333333,-57.06666666666667,0.0,86.72131216113675,43.193687499999996,9.617375,0.0,71.5918125,2461.5064375,0
1990-01-11, 1989/ 1990,19.0,20.53360351232692,0.0,-5.5,-44.0,-19.6,-1.7,-13.6,-8.4,-4.8,-38.4,-22.0,0.0,0.0,0.0,180.0,-1.0,-8.0,1.0,-3.6746164899965906e-11,-2.9396931919972725e-10,19.0,190.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9396931919972725e-10,12.72792206126042,-2.545584412304049,-7.636753236912147,-33.333333333333336,-39.733333333333334,-50.13333333333333,-50.13333333333333,0.0,86.72131216113675,43.193687499999996,9.617375,0.0,71.5918125,2461.5064375,0
1990-01-12, 1989/ 1990,19.0,20.7225630538514,0.0,-4.9,-39.2,-22.0,1.5,12.0,-6.8,-4.4,-35.2,-19.2,0.0,0.0,0.0,225.0,-2.121320343532578,-1.0,3.0,-7.636753236912147,-3.6746164899965906e-11,19.0,190.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6746164899965906e-11,-2.9396931919972725e-10,12.72792206126042,-2.545584412304049,-32.0,-33.333333333333336,-39.733333333333334,-50.13333333333333,0.0,264.47193195002416,43.07067142857143,8.680310714285714,9.192778571428573,69.46987857142857,2887.1474285714285,0
1990-01-13, 1989/ 1990,18.0,19.68843271531594,0.0,-5.2,-41.6,-19.6,-3.5,-28.0,6.0,-6.4,-51.2,-17.6,0.0,0.0,0.0,225.0,-2.121320343532578,-2.121320343532578,3.0,-7.636753236912147,-7.636753236912147,19.0,190.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.636753236912147,-3.6746164899965906e-11,-2.9396931919972725e-10,12.72792206126042,-20.8,-32.0,-33.333333333333336,-39.733333333333334,0.0,2.980624706433346,37.0667,6.0031,13.5869,50.02585,1967.5639,0
1990-01-14, 1989/ 1990,18.0,19.78021978021978,0.0,-7.100000000000001,-56.8,-20.8,-3.6,-28.8,-14.0,-7.0,-56.0,-25.6,0.0,0.0,0.0,225.0,-2.121320343532578,-2.121320343532578,3.0,-7.636753236912147,-7.636753236912147,18.0,180.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.636753236912147,-7.636753236912147,-3.6746164899965906e-11,-2.9396931919972725e-10,-40.266666666666666,-20.8,-32.0,-33.333333333333336,0.0,291.2941028496267,42.673878947368415,7.093168421052632,13.11735263157895,57.314842105263146,2206.0591894736845,0
1990-01-15, 1989/ 1990,18.0,19.97309938193595,0.0,-9.2,-73.60000000000001,-28.4,-3.1,-24.8,-14.4,-3.8,-30.4,-28.0,0.0,0.0,0.0,180.0,-5.0,-2.121320343532578,5.0,-1.8373082449982947e-10,-7.636753236912147,18.0,180.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.636753236912147,-7.636753236912147,-7.636753236912147,-3.6746164899965906e-11,-47.2,-40.266666666666666,-20.8,-32.0,0.0,68.01304783479426,34.3677,3.8913,19.264,41.6142,1879.8845,0
1990-01-16, 1989/ 1990,18.0,20.04724915128523,1.7,1.1,8.8,-36.8,2.3,18.4,-12.4,2.6,20.8,-15.2,0.0,0.0,0.0,180.0,-5.0,-5.0,5.0,-1.8373082449982947e-10,-1.8373082449982947e-10,18.0,180.0,90.0,2.0,0.0,8.0,80.0,0.0,0.0,0.0,0.0,0.0,-1.8373082449982947e-10,-7.636753236912147,-7.636753236912147,-7.636753236912147,-42.93333333333334,-47.2,-40.266666666666666,-20.8,0.0,98.85156201158661,41.04085833333334,8.651008333333332,6.873766666666666,71.01370833333333,2637.5822666666663,0
1990-01-17, 1989/ 1990,17.0,18.50874238345877,0.0,2.5,20.0,4.4,4.8,38.4,9.2,1.0,8.0,10.4,0.0,0.0,0.0,225.0,-5.656854249420207,-5.0,8.0,-20.36467529843239,-1.8373082449982947e-10,2.0,20.0,90.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8373082449982947e-10,-1.8373082449982947e-10,-7.636753236912147,-7.636753236912147,16.0,-42.93333333333334,-47.2,-40.266666666666666,37.0,100.90372187786215,46.2365,9.0208625,13.071087499999999,66.32780000000001,1472.435275,1
1990-01-17, 1989/ 1990,17.0,18.50874238345877,0.0,2.5,20.0,4.4,4.8,38.4,9.2,1.0,8.0,10.4,0.0,0.0,0.0,225.0,-5.656854249420207,-5.0,8.0,-20.36467529843239,-1.8373082449982947e-10,2.0,20.0,90.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8373082449982947e-10,-1.8373082449982947e-10,-7.636753236912147,-7.636753236912147,16.0,-42.93333333333334,-47.2,-40.266666666666666,37.0,100.90372187786215,46.2365,9.0208625,13.071087499999999,66.32780000000001,1472.435275,1
1990-01-17, 1989/ 1990,17.0,18.50874238345877,0.0,2.5,20.0,4.4,4.8,38.4,9.2,1.0,8.0,10.4,0.0,0.0,0.0,225.0,-5.656854249420207,-5.0,8.0,-20.36467529843239,-1.8373082449982947e-10,2.0,20.0,90.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8373082449982947e-10,-1.8373082449982947e-10,-7.636753236912147,-7.636753236912147,16.0,-42.93333333333334,-47.2,-40.266666666666666,39.0,57.6558489858689,42.93221,9.835354999999998,1.7760500000000001,69.60602500000002,1719.594455,1
1990-01-17, 1989/ 1990,17.0,18.50874238345877,0.0,2.5,20.0,4.4,4.8,38.4,9.2,1.0,8.0,10.4,0.0,0.0,0.0,225.0,-5.656854249420207,-5.0,8.0,-20.36467529843239,-1.8373082449982947e-10,2.0,20.0,90.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8373082449982947e-10,-1.8373082449982947e-10,-7.636753236912147,-7.636753236912147,16.0,-42.93333333333334,-47.2,-40.266666666666666,39.0,57.6558489858689,42.93221,9.835354999999998,1.7760500000000001,69.60602500000002,1719.594455,1
1990-01-17, 1989/ 1990,17.0,18.50874238345877,0.0,2.5,20.0,4.4,4.8,38.4,9.2,1.0,8.0,10.4,0.0,0.0,0.0,225.0,-5.656854249420207,-5.0,8.0,-20.36467529843239,-1.8373082449982947e-10,2.0,20.0,90.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8373082449982947e-10,-1.8373082449982947e-10,-7.636753236912147,-7.636753236912147,16.0,-42.93333333333334,-47.2,-40.266666666666666,34.0,281.0768689746891,43.65695,4.415100000000001,32.17595,52.052099999999996,1944.9621499999998,1
1990-01-18, 1989/ 1990,13.0,13.80308910803826,3.4,-4.9,-39.2,10.0,-3.8,-30.4,19.2,-7.100000000000001,-56.8,4.0,0.0,0.0,0.0,225.0,-3.535533905887629,-5.656854249420207,5.0,-12.72792206152024,-20.36467529843239,2.0,20.0,10.0,2.0,0.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,-20.36467529843239,-1.8373082449982947e-10,-1.8373082449982947e-10,-7.636753236912147,22.133333333333333,16.0,-42.93333333333334,-47.2,0.0,90.01768390844254,42.53206000000001,7.09607,13.2901,65.78074,2749.76394,0
1990-01-19, 1989/ 1990,14.0,14.81243981211289,0.0,-8.3,-66.4,-19.6,-3.3,-26.4,-15.2,-1.9,-15.2,-28.4,0.0,0.0,0.0,180.0,-3.0,-3.535533905887629,3.0,-1.1023849469989769e-10,-12.72792206152024,3.0,30.0,10.0,0.0,7.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,-12.72792206152024,-20.36467529843239,-1.8373082449982947e-10,-1.8373082449982947e-10,-42.13333333333333,22.133333333333333,16.0,-42.93333333333334,0.0,74.58871205440819,40.891475,7.230925,0.0,61.39475,2286.1698499999998,0
1990-01-20, 1989/ 1990,13.0,13.64937960678858,2.1,-1.9,-15.2,-33.2,-1.2,-9.6,-13.2,-2.0,-16.0,-7.600000000000001,0.0,0.0,0.0,90.0,-4.082907211107323e-11,-3.0,8.0,28.8,-1.1023849469989769e-10,4.0,40.0,15.0,3.0,0.0,3.0,30.0,0.0,0.0,10.0,10.0,10.0,-1.1023849469989769e-10,-12.72792206152024,-20.36467529843239,-1.8373082449982947e-10,-36.0,-42.13333333333333,22.133333333333333,16.0,0.0,55.32502943698503,38.3117,2.6726,30.3754,45.4725,2042.2484,0
1990-01-21, 1989/ 1990,6.0,6.246056662072856,0.4,-2.2,-17.6,-7.600000000000001,0.5,4.0,-4.8,0.1,0.8,-8.0,0.0,0.0,0.0,135.0,-2.121320343575881,-4.082907211107323e-11,3.0,7.636753236756254,28.8,4.0,40.0,20.0,71.0,2.0,8.0,80.0,1.0,10.0,3.0,10.0,10.0,28.8,-1.1023849469989769e-10,-12.72792206152024,-20.36467529843239,-13.6,-36.0,-42.13333333333333,22.133333333333333,0.0,82.01615906974631,42.22405,6.966049999999999,16.252,66.35245,1961.4425999999999,0
1990-01-22, 1989/ 1990,6.0,6.336000108281252,0.0,-1.7,-13.6,-8.8,1.9,15.2,2.0,-1.9,-15.2,0.4,0.0,0.0,0.0,135.0,-2.121320343575881,-2.121320343575881,3.0,7.636753236756254,7.636753236756254,5.0,50.0,20.0,0.0,7.0,0.0,0.0,0.0,0.0,11.0,20.0,10.0,7.636753236756254,28.8,-1.1023849469989769e-10,-12.72792206152024,-4.2666666666666675,-13.6,-36.0,-42.13333333333333,0.0,236.81701527625484,36.16575,5.3207,23.699150000000003,52.54575,2344.71655,0
1990-01-23, 1989/ 1990,6.0,6.37270699454736,0.0,-1.2,-9.6,-6.8,4.3,34.4,7.600000000000001,1.5,12.0,-7.600000000000001,0.0,0.0,0.0,180.0,-3.0,-2.121320343575881,3.0,-1.1023849469989769e-10,7.636753236756254,6.0,60.0,25.0,0.0,0.0,1.0,10.0,0.0,0.0,3.0,20.0,10.0,7.636753236756254,7.636753236756254,28.8,-1.1023849469989769e-10,-4.533333333333333,-4.2666666666666675,-13.6,-36.0,0.0,240.62259194360806,40.215385714285716,6.8277,3.598442857142857,60.65671428571428,2925.3788714285715,0
1990-01-24, 1989/ 1990,6.0,6.206896715016772,0.0,3.4,27.2,-4.8,0.2,1.6,17.2,-2.8,-22.4,6.0,0.0,0.0,0.0,90.0,-4.082907211107323e-11,-3.0,8.0,28.8,-1.1023849469989769e-10,3.0,30.0,30.0,36.0,0.0,8.0,80.0,0.0,0.0,1.0,10.0,0.0,-1.1023849469989769e-10,7.636753236756254,7.636753236756254,28.8,12.266666666666666,-4.533333333333333,-4.2666666666666675,-13.6,0.0,57.6558489858689,42.93221,9.835354999999998,1.7760500000000001,69.60602500000002,1719.594455,0
1990-01-25, 1989/ 1990,6.0,6.137631727580157,0.0,-2.9,-23.2,13.6,3.9,31.2,0.8,3.5,28.0,-11.2,0.0,0.0,0.0,180.0,-8.0,-4.082907211107323e-11,8.0,-2.9396931919972725e-10,28.8,3.0,30.0,15.0,2.0,1.0,2.0,20.0,0.0,0.0,0.0,10.0,0.0,28.8,-1.1023849469989769e-10,7.636753236756254,7.636753236756254,2.1333333333333337,12.266666666666666,-4.533333333333333,-4.2666666666666675,0.0,103.16011422051332,42.24281818181817,7.576309090909091,8.488518181818181,64.56995454545455,2336.0986545454543,0
1990-01-26, 1989/ 1990,6.0,6.068035777115239,18.0,-2.4,-19.2,-11.6,-5.3,-42.4,15.6,-6.9,-55.2,14.0,0.0,0.0,0.0,45.0,7.778174593032174,-8.0,11.0,28.00142853505874,-2.9396931919972725e-10,2.0,20.0,15.0,2.0,2.0,8.0,80.0,0.0,0.0,0.0,0.0,0.0,-2.9396931919972725e-10,28.8,-1.1023849469989769e-10,7.636753236756254,12.0,2.1333333333333337,12.266666666666666,-4.533333333333333,0.0,275.52175426542595,42.58717894736842,7.489589473684211,3.4162157894736835,71.13368421052631,2555.3687789473684,0
1990-01-27, 1989/ 1990,38.0,36.23230408058038,0.0,-6.600000000000001,-52.8,-9.6,-1.4,-11.2,-21.2,-2.1,-16.8,-27.6,0.0,0.0,0.0,180.0,-5.0,7.778174593032174,5.0,-1.8373082449982947e-10,28.00142853505874,3.0,30.0,10.0,0.0,7.0,0.0,0.0,35.0,350.0,0.0,0.0,0.0,28.00142853505874,-2.9396931919972725e-10,28.8,-1.1023849469989769e-10,-38.93333333333334,12.0,2.1333333333333337,12.266666666666666,0.0,291.03853265339706,44.495709090909095,5.800336363636363,15.979145454545455,61.01829999999998,2256.9431545454545,0
1990-01-28, 1989/ 1990,28.0,25.56723840893052,0.9,1.7,13.6,-26.4,2.0,16.0,-5.600000000000001,2.0,16.0,-8.4,0.0,0.0,0.0,180.0,-14.0,-5.0,14.0,-5.144463085995227e-10,-1.8373082449982947e-10,4.0,40.0,15.0,8.0,0.0,9.0,90.0,0.0,0.0,350.0,350.0,350.0,-1.8373082449982947e-10,28.00142853505874,-2.9396931919972725e-10,28.8,-26.933333333333334,-38.93333333333334,12.0,2.1333333333333337,0.0,298.1447446617573,41.6731125,7.1471,0.0,65.40911249999999,2735.1634,0
